@relation gaussian.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attrb1 numeric
@attribute attrb2 numeric
@attribute class {1,2,3,4}

@data
0.398713,0.720454,2
0.426322,0.447052,1
0.391846,0.240096,3
0.349763,0.533921,1
0.289212,0.385813,3
0.56641,0.710842,2
0.576024,0.311792,3
0.359508,0.334898,3
0.33062,0.541655,1
0.500957,0.371434,1
0.574127,0.275987,3
0.467779,0.505324,3
0.44052,0.220457,3
0.467863,0.82546,1
0.401784,0.572035,1
0.494976,0.694279,2
0.525229,0.68295,2
0.605046,0.330676,3
0.468176,0.31297,3
0.596177,0.622471,2
0.416863,0.305888,3
0.62182,0.311517,3
0.389463,0.334785,1
0.496191,0.700422,2
0.308324,0.365542,1
0.469338,0.642916,1
0.435238,0.283882,3
0.481039,0.361409,1
0.767231,0.336179,3
0.620762,0.312229,3
0.503329,0.653192,2
0.52138,0.306654,3
0.415252,0.45094,1
0.462993,0.517239,1
0.367303,0.515785,1
0.695814,0.644035,2
0.452038,0.759783,2
0.590019,0.298657,3
0.519983,0.341101,3
0.574106,0.726759,2
0.54341,0.724976,2
0.515452,0.606716,1
0.33544,0.319568,3
0.419413,0.615497,2
0.391043,0.370148,3
0.385292,0.428324,1
0.556628,0.680647,2
0.524154,0.709664,2
0.41141,0.297999,3
0.434331,0.287519,3
0.466059,0.445168,1
0.369655,0.302066,3
0.375281,0.28338,1
0.403025,0.302987,1
0.285014,0.312558,1
0.396685,0.685277,2
0.426108,0.679983,2
0.640888,0.289493,3
0.573308,0.290576,3
0.529968,0.324963,3
0.398604,0.411563,1
0.487906,0.701756,2
0.558104,0.330622,3
0.37574,0.294727,3
0.674446,0.745798,2
0.65616,0.277602,3
0.440859,0.19331,3
0.347198,0.748663,1
0.581713,0.724576,2
0.31386,0.317833,1
0.561091,0.727943,2
0.377273,0.356695,1
0.552253,0.358442,3
0.438497,0.619696,1
0.463905,0.606758,1
0.481977,0.596314,2
0.636388,0.688088,2
0.337126,0.256206,3
0.310773,0.237536,3
0.407108,0.673356,1
0.313447,0.621598,2
0.440671,0.402424,3
0.542404,0.741874,2
0.416535,0.34996,1
0.738027,0.657583,2
0.60003,0.5614,2
0.58785,0.651894,2
0.539932,0.273433,3
0.480596,0.257582,3
0.427839,0.807515,2
0.473275,0.30221,1
0.693723,0.351772,3
0.646342,0.619899,2
0.443247,0.45033,1
0.38378,0.496507,1
0.704552,0.658247,2
0.603393,0.61634,2
0.485393,0.347508,3
0.496947,0.318372,3
0.621054,0.609922,2
0.647984,0.38753,3
0.409678,0.371673,1
0.641175,0.266177,3
0.432157,0.68618,2
0.44893,0.483449,1
0.375787,0.328606,1
0.367856,0.442237,1
0.382456,0.416648,3
0.513924,0.363335,3
0.315194,0.478102,1
0.427073,0.136545,1
0.467628,0.250084,1
0.384708,0.627657,1
0.350905,0.714305,1
0.463686,0.531618,1
0.348501,0.6366,2
0.599232,0.716237,2
0.416102,0.225822,3
0.482754,0.31245,3
0.40107,0.317833,1
0.534833,0.722697,2
0.416238,0.443798,1
0.760875,0.334635,3
0.475408,0.690589,2
0.34604,0.259962,3
0.47048,0.736826,2
0.622957,0.714431,2
0.402504,0.236171,1
0.559167,0.267888,3
0.412379,0.238615,3
0.559532,0.655519,2
0.732406,0.309322,3
0.576337,0.634548,2
0.395689,0.347723,1
0.305381,0.371667,1
0.596761,0.72494,2
0.520437,0.68127,2
0.532247,0.20139,3
0.450964,0.099299,3
0.626148,0.752635,2
0.448962,0.700422,2
0.435306,0.829826,1
0.650253,0.260632,3
0.607497,0.39125,3
0.493939,0.260895,3
0.458279,0.346377,1
0.518367,0.227276,3
0.343227,0.280515,1
0.497104,0.3758,3
0.581927,0.312396,3
0.432151,0.496896,1
0.564366,0.661626,2
0.454525,0.427157,1
0.441479,0.395204,1
0.338145,0.581875,1
0.782003,0.733919,2
0.496895,0.671998,2
0.555908,0.335156,3
0.266586,0.341065,3
0.479167,0.483886,1
0.354654,0.789092,1
0.517913,0.323641,3
0.580389,0.32671,3
0.565002,0.247308,3
0.388869,0.308705,1
0.374895,0.417192,1
0.412463,0.68298,1
0.467029,0.234516,3
0.558708,0.524608,2
0.583595,0.230235,3
0.435926,0.272129,1
0.399683,0.478054,1
0.520588,0.6877,2
0.447877,0.746169,1
0.317592,0.560078,1
0.53256,0.698221,2
0.478651,0.629613,2
0.616762,0.27095,3
0.655316,0.380137,3
0.543645,0.732627,2
0.452413,0.375674,3
0.468207,0.586253,2
0.344112,0.517328,1
0.380161,0.413059,1
0.450922,0.315752,3
0.499085,0.723798,2
0.43858,0.747772,1
0.382695,0.391705,1
0.581421,0.679176,2
0.514446,0.680318,2
0.548567,0.649855,2
0.418136,0.506305,1
0.421739,0.360906,3
0.332794,0.280598,1
0.489929,0.470003,1
0.625214,0.599951,2
0.555606,0.70373,2
0.3833,0.2658,3
0.354748,0.318503,3
0.525901,0.345438,3
0.325495,0.342746,1
0.462623,0.662912,2
0.510572,0.309609,3
0.411034,0.693179,2
0.429106,0.957232,1
0.408839,0.374358,1
0.608905,0.267924,3
0.582459,0.588431,2
0.536173,0.3641,3
0.495216,0.250368,3
0.354398,0.584345,1
0.404047,0.289654,1
0.454671,0.622938,2
0.386747,0.636378,1
0.514957,0.59315,1
0.476221,0.709054,2
0.441531,0.612739,2
0.814638,0.395874,3
0.499283,0.301061,3
0.535104,0.305703,3
0.612174,0.226444,3
0.3049,0.681628,1
0.417979,0.374065,3
0.436109,0.301821,1
0.556028,0.378169,3
0.351843,0.618912,2
0.595989,0.735312,2
0.58735,0.659491,2
0.400157,0.535985,1
0.386058,0.397603,1
0.394213,0.239191,3
0.438278,0.266667,3
0.602283,0.577335,2
0.384505,0.373473,1
0.488036,0.188387,1
0.594675,0.613158,2
0.488511,0.580661,2
0.496499,0.355804,3
0.464348,0.319861,3
0.390152,0.314561,3
0.583955,0.258874,3
0.411696,0.617824,2
0.574392,0.362204,3
0.357741,0.380555,1
0.426035,0.080774,1
0.550673,0.744632,2
0.834035,0.674684,2
0.317714,0.281532,1
0.31071,0.420027,1
0.369488,0.404188,1
0.427798,0.720048,2
0.646535,0.305601,3
0.543003,0.315303,3
0.438007,0.540525,1
0.47462,0.151416,1
0.402373,0.574524,2
0.576681,0.630738,2
0.459807,0.345982,3
0.423074,0.230141,3
0.573449,0.320716,3
0.6575,0.370393,3
0.633938,0.658845,2
0.353152,0.466809,1
0.408636,0.218355,1
0.59515,0.562896,2
0.622826,0.58035,2
0.468655,0.330837,3
0.305308,0.356127,1
0.508549,0.305816,3
0.69573,0.361415,3
0.381991,0.466635,1
0.582865,0.380113,3
0.615349,0.628333,2
0.435155,0.230706,1
0.366824,0.532234,1
0.477472,0.736024,2
0.467164,0.623153,2
0.580305,0.374652,3
0.382038,0.266769,3
0.398562,0.628692,1
0.40399,0.264389,3
0.67697,0.687628,2
0.653376,0.559103,2
0.615991,0.26394,3
0.397806,0.250936,1
0.553609,0.506496,2
0.486044,0.759538,2
0.460944,0.352687,3
0.4046,0.590255,1
0.415085,0.250212,3
0.540584,0.324844,3
0.430634,0.513345,1
0.70486,0.648754,2
0.466752,0.627801,1
0.422792,0.556244,1
0.555152,0.69593,2
0.537883,0.660155,2
0.536846,0.386142,3
0.367079,0.265316,3
0.425587,0.119899,1
0.575487,0.285731,3
0.584508,0.602236,2
0.526209,0.663732,2
0.516802,0.739972,2
0.574074,0.689129,2
0.524493,0.655124,2
0.49714,0.709323,2
0.360598,0.61972,1
0.24367,0.222103,1
0.508079,0.559145,2
0.402269,0.686886,2
0.527272,0.533796,1
0.561555,0.620037,2
0.395486,0.408118,1
0.365828,0.377271,1
0.59515,0.62606,2
0.526814,0.768701,2
0.670838,0.320052,3
0.562937,0.280401,3
0.493819,0.75285,2
0.442376,0.729062,2
0.47266,0.393122,3
0.485627,0.225975,3
0.456574,0.293608,3
0.535975,0.453966,3
0.466804,0.666974,2
0.287641,0.474106,1
0.431234,0.671741,2
0.628359,0.765023,2
0.552071,0.276896,3
0.642744,0.249025,3
0.467367,0.365578,1
0.416775,0.410499,1
0.400788,0.517699,1
0.405888,0.651518,1
0.702363,0.669324,2
0.590139,0.603977,2
0.473515,0.314113,3
0.548181,0.260423,3
0.370406,0.62472,1
0.563688,0.278307,3
0.41386,0.397112,1
0.458133,0.68938,2
0.416957,0.229073,3
0.550215,0.701792,2
0.473546,0.902382,1
0.415915,0.315327,3
0.385089,0.517645,1
0.605317,0.625821,2
0.378613,0.387183,1
0.431593,0.34149,3
0.527445,0.710483,2
0.448315,0.358322,3
0.49434,0.381967,1
0.348147,0.671711,1
0.432918,0.730713,2
0.507871,0.67128,2
0.493438,0.30075,3
0.526381,0.340324,3
0.509915,0.395611,3
0.57251,0.635577,2
0.386397,0.373838,1
0.431573,0.320752,1
0.407395,0.278732,3
0.349033,0.578268,1
0.3744,0.369131,3
0.524858,0.312444,3
0.304548,0.489191,1
0.471398,0.321769,3
0.541888,0.354566,3
0.371198,0.676395,2
0.358705,0.554025,1
0.507751,0.627771,2
0.392649,0.607787,1
0.394104,0.649825,1
0.475152,0.620725,2
0.47267,0.740169,2
0.527763,0.337728,3
0.518622,0.339175,3
0.344997,0.522108,1
0.674253,0.263802,3
0.41458,0.773522,1
0.459426,0.346353,3
0.460573,0.691061,2
0.564048,0.326429,3
0.510874,0.294206,3
0.473494,0.691103,2
0.360389,0.573746,1
0.278063,0.606058,1
0.274266,0.752264,1
0.443466,0.391005,3
0.451715,0.356833,3
0.523445,0.698562,2
0.379092,0.420494,1
0.453279,0.594598,1
0.501953,0.556035,2
0.471726,0.648772,2
0.518419,0.349816,3
0.563385,0.288853,3
0.491827,0.217548,3
0.54085,0.389569,3
0.53573,0.737741,2
0.670363,0.271722,3
0.446005,0.589286,1
0.463942,0.347519,3
0.518899,0.685618,2
0.39376,0.767774,2
0.458999,0.658187,2
0.598304,0.713707,2
0.672334,0.733374,2
0.412259,0.50588,1
0.476581,0.708922,1
0.39499,0.396998,3
0.276917,0.474914,1
0.384286,0.537959,1
0.450865,0.580487,2
0.499836,0.739882,2
0.491196,0.250071,3
0.549031,0.333612,3
0.531381,0.320017,3
0.450526,0.35968,3
0.357866,0.36617,3
0.479793,0.48327,1
0.511854,0.569218,2
0.604859,0.339193,3
0.429878,0.204418,3
0.38706,0.543539,1
0.429941,0.68679,1
0.560815,0.672501,2
0.48144,0.329007,3
0.327613,0.244126,1
0.434951,0.344224,1
0.424586,0.566389,1
0.326953,0.800517,1
0.42871,0.384695,1
0.52769,0.775484,2
0.419424,0.652265,2
0.422745,0.35121,3
0.444968,0.405959,3
0.400105,0.587127,1
0.559532,0.329527,3
0.45306,0.612596,1
0.53281,0.470547,1
0.50956,0.650812,2
0.492859,0.727584,2
0.463942,0.299494,3
0.369712,0.575014,1
0.536554,0.570725,2
0.441933,0.332273,3
0.520181,0.369478,3
0.406487,0.315297,1
0.389886,0.837124,1
0.509899,0.26595,3
0.378644,0.513889,1
0.412197,0.559917,1
0.648141,0.560904,2
0.612497,0.63118,2
0.500613,0.308993,3
0.353955,0.302562,3
0.408834,0.715873,2
0.374744,0.58331,1
0.434821,0.369998,3
0.514472,0.235382,3
0.505477,0.221464,3
0.635914,0.332895,3
0.441448,0.543791,1
0.531131,0.567292,2
0.446782,0.622944,2
0.564689,0.222451,3
0.461705,0.625612,2
0.524295,0.685851,2
0.315119,0.28384,1
0.433663,0.74197,2
0.465636,0.512232,1
0.413662,0.603516,1
0.40717,0.729953,2
0.397618,0.562034,2
0.568198,0.310105,3
0.390699,0.388068,3
0.421869,0.464978,1
0.323543,0.396741,1
0.346014,0.704221,1
0.56898,0.64117,2
0.423131,0.739446,2
0.373519,0.675264,2
0.526887,0.699178,2
0.555001,0.261709,3
0.507391,0.697455,2
0.489892,0.65394,2
0.453493,0.371739,3
0.479099,0.059462,1
0.415039,0.467796,1
0.466627,0.233706,3
0.437292,0.426912,1
0.422651,0.344289,1
0.526063,0.71982,2
0.534624,0.768976,2
0.371944,0.344804,3
0.491269,0.376847,3
0.541789,0.344935,3
0.481409,0.617238,2
0.419325,0.28274,1
0.532742,0.389229,3
0.469005,0.73478,2
0.401654,0.820854,1
0.425999,0.319065,3
0.444013,0.663128,1
0.416134,0.396735,1
0.486284,0.273887,3
0.583512,0.268922,3
0.418104,0.502387,1
0.478557,0.344044,3
0.495816,0.651099,2
0.395387,0.433109,1
0.424726,0.48245,1
0.480914,0.620372,2
0.513857,0.661578,2
0.49885,0.318802,3
0.535761,0.401544,3
0.395595,0.215398,3
0.360009,0.305733,1
0.550621,0.682753,2
0.52491,0.359315,3
0.543514,0.680127,2
0.390887,0.392082,1
0.406049,0.681252,2
0.577865,0.7115,2
0.436781,0.340007,3
0.546867,0.67844,2
0.529191,0.686659,2
0.425076,0.544203,2
0.552994,0.277996,3
0.471189,0.761661,2
0.345983,0.718768,1
0.465496,0.524249,1
0.483703,0.658576,2
0.499742,0.653264,2
0.553619,0.317145,3
0.490336,0.309567,3
0.601219,0.305816,3
0.526089,0.285557,3
0.56789,0.326441,3
0.568422,0.639184,2
0.444994,0.285449,1
0.601005,0.364561,3
0.446266,0.716273,2
0.55083,0.36608,3
0.453785,0.265776,3
0.425957,0.369328,3
0.336936,0.459457,1
0.484193,0.300361,3
0.471554,0.483778,1
0.53477,0.313975,3
0.351192,0.552601,1
0.422563,0.325735,1
0.453753,0.680797,2
0.436364,0.737059,2
0.533284,0.341125,3
0.499612,0.248494,3
0.385918,0.428563,1
0.455448,0.912371,1
0.46878,0.356785,3
0.608456,0.715418,2
0.432344,0.651811,2
0.534129,0.714766,2
0.500295,0.615407,2
0.544698,0.325382,3
0.531506,0.669097,2
0.458342,0,1
0.431051,0.733488,2
0.313361,0.62749,1
0.596829,0.690535,2
0.398301,0.340748,3
0.373258,0.576378,1
0.416222,0.124828,1
0.576337,0.692287,2
0.499685,0.715837,2
0.518914,0.2587,3
0.521005,0.27689,3
0.361995,0.4251,1
0.516698,0.705261,2
0.464917,0.543838,2
0.421322,0.583538,1
0.471043,0.677734,2
0.508371,0.380047,3
0.328792,0.387027,1
0.56155,0.671759,2
0.58822,0.114492,3
0.437397,0.681323,2
0.362011,0.685504,1
0.493083,0.377188,3
0.557363,0.71534,2
0.367919,0.466175,1
0.417301,0.684452,1
0.449535,0.341711,1
0.505066,0.670593,2
0.548515,0.683913,2
0.445463,0.215863,3
0.54705,0.317175,3
0.518909,0.13891,3
0.528446,0.645835,2
0.502485,0.66546,2
0.528941,0.28774,3
0.566832,0.431488,3
0.519357,0.295516,3
