@relation 'generators.SEAGenerator -weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data
0.337928,0.833831,0.38827,groupB
0.348975,0.053058,0.606213,groupA
0.661558,0.885322,0.189163,groupB
0.686434,0.224553,0.444612,groupB
0.105922,0.983509,0.601054,groupB
0.815777,0.155552,0.453418,groupB
0.891299,0.156127,0.746229,groupB
0.696116,0.094846,0.958854,groupA
0.677598,0.454075,0.274587,groupB
0.46995,0.819714,0.969144,groupB
0.871802,0.051717,0.726224,groupA
0.100361,0.818974,0.747892,groupB
0.226447,0.461375,0.930778,groupA
0.945113,0.027536,0.746955,groupB
0.500539,0.09655,0.144348,groupB
0.818787,0.214789,0.83381,groupB
0.82642,0.298151,0.158859,groupB
0.461379,0.11961,0.5106,groupB
0.567033,0.370988,0.93419,groupA
0.882244,0.880014,0.060448,groupB
0.807105,0.661013,0.285555,groupB
0.292974,0.885542,0.544363,groupB
0.985791,0.945846,0.947237,groupB
0.249275,0.796711,0.707957,groupB
0.71815,0.903058,0.425159,groupB
0.961193,0.238094,0.453202,groupB
0.54993,0.45473,0.726149,groupA
0.864385,0.798948,0.349787,groupB
0.330715,0.50527,0.164593,groupB
0.669619,0.517712,0.554418,groupB
0.519234,0.202031,0.345946,groupA
0.478369,0.875327,0.412452,groupB
0.521824,0.434196,0.310212,groupB
0.85193,0.049098,0.889867,groupB
0.717157,0.82704,0.384222,groupB
0.771474,0.35933,0.603148,groupB
0.305711,0.471546,0.346175,groupA
0.643279,0.067766,0.602743,groupA
0.001783,0.26257,0.320772,groupA
0.934507,0.173366,0.165553,groupB
0.940872,0.09511,0.408585,groupB
0.581983,0.447721,0.41352,groupB
0.572732,0.839865,0.979214,groupB
0.721773,0.721458,0.521112,groupB
0.92729,0.198464,0.032049,groupB
0.533049,0.267718,0.746468,groupB
0.519185,0.939579,0.70828,groupB
0.529623,0.72138,0.528986,groupB
0.780369,0.362922,0.78214,groupA
0.262162,0.393705,0.965896,groupA
0.852887,0.606091,0.926636,groupB
0.76882,0.099045,0.420157,groupB
0.919005,0.650252,0.230939,groupB
0.007033,0.237399,0.362101,groupA
0.407225,0.271371,0.0884,groupA
0.472052,0.08062,0.539013,groupA
0.519232,0.934328,0.890668,groupB
0.947079,0.275123,0.338521,groupB
0.941425,0.934366,0.608524,groupB
0.043419,0.279108,0.776845,groupA
0.174599,0.718289,0.488388,groupB
0.486866,0.916753,0.471688,groupB
0.437971,0.279182,0.447869,groupA
0.443751,0.018358,0.959254,groupA
0.069858,0.625971,0.89712,groupA
0.491833,0.850856,0.196368,groupB
0.412206,0.758975,0.911707,groupB
0.092102,0.426462,0.210282,groupA
0.750467,0.360947,0.64253,groupB
0.962382,0.044153,0.177857,groupB
0.404867,0.309885,0.357757,groupB
0.822746,0.196044,0.262239,groupB
0.573333,0.802681,0.956317,groupB
0.450379,0.42723,0.519413,groupA
0.161019,0.286416,0.425939,groupA
0.387635,0.005874,0.908156,groupA
0.408485,0.069376,0.074287,groupA
0.81799,0.789439,0.780006,groupB
0.120686,0.320841,0.656358,groupA
0.057724,0.74505,0.953457,groupB
0.961632,0.203609,0.870796,groupB
0.649754,0.164036,0.98252,groupA
0.183829,0.025016,0.906009,groupA
0.711565,0.133538,0.551508,groupB
0.277938,0.605342,0.93014,groupB
0.862484,0.681701,0.935883,groupB
0.545966,0.890624,0.345429,groupB
0.57297,0.50482,0.1975,groupB
0.121296,0.305578,0.990542,groupA
0.338271,0.485845,0.008035,groupB
0.122176,0.030207,0.429092,groupA
0.175429,0.245382,0.692141,groupA
0.290755,0.582664,0.021801,groupB
0.938802,0.358029,0.122697,groupB
0.438394,0.890001,0.59887,groupB
0.694993,0.197256,0.402246,groupB
0.813994,0.594872,0.444932,groupB
0.161516,0.503801,0.036146,groupB
0.228439,0.081568,0.47946,groupB
0.058919,0.639864,0.271925,groupA
0.85127,0.559474,0.556355,groupA
0.268779,0.876951,0.63159,groupB
0.555673,0.616298,0.437912,groupB
0.05172,0.900387,0.448361,groupB
0.049002,0.326031,0.726676,groupA
0.670191,0.122509,0.959704,groupA
0.404689,0.110141,0.955928,groupA
0.397647,0.213746,0.559933,groupA
0.725286,0.870134,0.51073,groupA
0.05984,0.911351,0.404644,groupB
0.053981,0.779697,0.75503,groupB
0.695513,0.869996,0.635892,groupB
0.362976,0.517065,0.295494,groupB
0.608072,0.120525,0.669638,groupA
0.438724,0.015808,0.835566,groupA
0.352407,0.567708,0.207069,groupB
0.376952,0.459619,0.353633,groupA
0.866179,0.04635,0.194539,groupB
0.304115,0.036727,0.961393,groupA
0.84724,0.036787,0.139912,groupB
0.43761,0.07214,0.239664,groupA
0.866053,0.951426,0.246536,groupB
0.499226,0.054732,0.929933,groupA
0.833843,0.606467,0.390987,groupB
0.943331,0.483855,0.916037,groupB
0.756921,0.661337,0.786598,groupA
0.894372,0.791263,0.597995,groupB
0.648524,0.376868,0.836782,groupB
0.684395,0.034864,0.117832,groupA
0.719195,0.314138,0.517852,groupA
0.359231,0.235416,0.842679,groupA
0.642372,0.8051,0.135826,groupB
0.71751,0.407813,0.535035,groupB
0.497139,0.473898,0.381629,groupB
0.106624,0.723659,0.781666,groupB
0.641198,0.82009,0.771788,groupB
0.838979,0.051824,0.911596,groupB
0.789644,0.687688,0.480038,groupB
0.693159,0.639789,0.88015,groupA
0.513778,0.44782,0.851757,groupB
0.410844,0.773958,0.135893,groupB
0.693982,0.768691,0.688042,groupB
0.637084,0.975278,0.358179,groupB
0.870503,0.42165,0.296323,groupB
0.242404,0.176383,0.541757,groupA
0.096505,0.01148,0.456475,groupA
0.137166,0.2816,0.275732,groupA
0.933659,0.37945,0.938668,groupB
0.582228,0.718592,0.674376,groupB
0.201752,0.615639,0.813797,groupB
0.786706,0.090878,0.105553,groupA
0.52889,0.17364,0.998683,groupA
0.338741,0.157537,0.646422,groupA
0.567145,0.53059,0.827146,groupB
0.61654,0.030197,0.668922,groupA
0.401944,0.132977,0.946371,groupA
0.459973,0.691561,0.340411,groupB
0.014172,0.016307,0.689158,groupA
0.770533,0.725852,0.267345,groupB
0.921586,0.080866,0.996412,groupB
0.989639,0.345014,0.278307,groupB
0.489958,0.496221,0.726407,groupA
0.725189,0.260186,0.326421,groupB
0.989801,0.717461,0.270413,groupA
0.937359,0.677768,0.12055,groupB
0.399919,0.88798,0.480407,groupB
0.185263,0.738595,0.104442,groupB
0.24271,0.967176,0.944988,groupB
0.496961,0.295212,0.862361,groupA
0.590051,0.937834,0.258505,groupA
0.694477,0.241499,0.111483,groupB
0.53535,0.861231,0.697806,groupB
0.796925,0.533838,0.730059,groupB
0.160194,0.112829,0.281033,groupA
0.035813,0.63049,0.02933,groupB
0.20337,0.91141,0.245243,groupB
0.733133,0.08619,0.151291,groupA
0.701883,0.082534,0.52694,groupA
0.707217,0.85516,0.690372,groupB
0.674677,0.113962,0.291694,groupA
0.212459,0.834766,0.560983,groupB
0.602742,0.543413,0.285563,groupB
0.050059,0.346493,0.2311,groupB
0.947442,0.242515,0.408001,groupB
0.505914,0.240738,0.03769,groupA
0.401663,0.209862,0.114899,groupA
0.001803,0.009047,0.920894,groupA
0.095299,0.909587,0.126995,groupB
0.288834,0.876244,0.144797,groupB
0.135794,0.855005,0.66386,groupB
0.309327,0.227385,0.513641,groupA
0.931123,0.642927,0.349677,groupA
0.231688,0.017239,0.915122,groupA
0.443256,0.777437,0.589417,groupB
0.368639,0.139352,0.790376,groupA
0.937052,0.485813,0.250342,groupB
0.830872,0.198888,0.6984,groupB
0.289778,0.490432,0.460145,groupB
0.488364,0.396115,0.351311,groupB
0.52489,0.126594,0.555827,groupB
0.155283,0.657738,0.83902,groupB
0.416482,0.552684,0.128141,groupB
0.266428,0.406863,0.661307,groupB
0.143611,0.44695,0.948224,groupB
0.681927,0.188268,0.613275,groupB
0.470415,0.630655,0.04155,groupA
0.234148,0.0732,0.917556,groupA
0.022953,0.468863,0.552407,groupA
0.738822,0.978805,0.0116,groupB
0.716055,0.222414,0.492546,groupB
0.88169,0.648294,0.944027,groupA
0.793375,0.732854,0.957387,groupB
0.840889,0.961675,0.256878,groupB
0.838878,0.162059,0.914255,groupB
0.416902,0.24701,0.060937,groupA
0.516383,0.064952,0.97487,groupB
0.444319,0.459802,0.10741,groupB
0.671568,0.535321,0.283964,groupB
0.016995,0.80409,0.644578,groupA
0.003485,0.836908,0.648142,groupA
0.152941,0.879678,0.181195,groupB
0.398323,0.992612,0.11316,groupB
0.159385,0.773048,0.893465,groupB
0.699839,0.195638,0.716265,groupA
0.956404,0.7164,0.668865,groupB
0.545907,0.460068,0.731756,groupB
0.727125,0.429776,0.534141,groupB
0.914571,0.282179,0.449332,groupB
0.675848,0.614714,0.781204,groupB
0.645097,0.789533,0.8541,groupA
0.692598,0.346071,0.809865,groupB
0.140404,0.264994,0.172955,groupA
0.930785,0.951709,0.23216,groupB
0.059168,0.112147,0.163068,groupA
0.121555,0.000191,0.952087,groupA
0.515888,0.628521,0.867747,groupB
0.84686,0.771331,0.610307,groupB
0.014249,0.282795,0.708888,groupA
0.195622,0.875182,0.38705,groupB
0.838195,0.763379,0.485121,groupB
0.61404,0.651763,0.99277,groupB
0.139551,0.315846,0.803727,groupA
0.723632,0.036762,0.491057,groupA
0.671945,0.638884,0.380904,groupB
0.319765,0.58654,0.94424,groupB
0.815899,0.68537,0.237669,groupB
0.857469,0.596168,0.703274,groupB
0.05397,0.484377,0.89359,groupA
0.156712,0.431779,0.686946,groupA
0.739982,0.626519,0.647387,groupB
0.212751,0.628548,0.01648,groupB
0.651499,0.685418,0.253408,groupB
0.802438,0.239289,0.786035,groupB
0.417069,0.539001,0.771024,groupB
0.445286,0.783364,0.182606,groupB
0.369213,0.898765,0.90226,groupB
0.13873,0.550677,0.955469,groupB
0.791036,0.440361,0.818318,groupB
0.285567,0.676329,0.644766,groupB
0.747999,0.017094,0.93984,groupA
0.406248,0.767019,0.328044,groupA
0.07876,0.392823,0.893288,groupA
0.681554,0.161989,0.102496,groupB
0.775295,0.551773,0.845625,groupB
0.740853,0.190796,0.75767,groupB
0.685779,0.463768,0.12776,groupA
0.746048,0.166872,0.447041,groupB
0.209099,0.150824,0.196717,groupA
0.918744,0.526199,0.925162,groupB
0.103201,0.162463,0.128707,groupB
0.716459,0.088149,0.40142,groupB
0.267124,0.91285,0.71624,groupB
0.129756,0.147523,0.431825,groupA
0.110854,0.303466,0.399191,groupB
0.780562,0.980127,0.756067,groupB
0.66733,0.377145,0.327699,groupB
0.027831,0.54214,0.89289,groupB
0.788515,0.805745,0.37484,groupB
0.937338,0.240548,0.395403,groupA
0.935854,0.256547,0.705803,groupB
0.977153,0.089181,0.738524,groupB
0.551347,0.2727,0.600731,groupB
0.686795,0.14701,0.030929,groupB
0.580594,0.199219,0.129637,groupB
0.864323,0.966689,0.922364,groupB
0.121784,0.079098,0.765632,groupA
0.278744,0.97054,0.449524,groupB
0.919583,0.904459,0.85553,groupA
0.603653,0.034463,0.686789,groupB
0.402726,0.684225,0.885252,groupB
0.107643,0.11188,0.284994,groupA
0.853363,0.44087,0.099754,groupB
0.283325,0.209757,0.59867,groupA
0.170422,0.614858,0.879282,groupA
0.089151,0.572916,0.557747,groupA
0.779982,0.49421,0.497832,groupB
0.029871,0.147446,0.123532,groupA
0.324292,0.922127,0.289692,groupB
0.072494,0.401113,0.095938,groupA
0.813093,0.772553,0.29407,groupB
0.08178,0.123337,0.425925,groupA
0.752869,0.372869,0.529476,groupB
0.469863,0.57886,0.160886,groupB
0.923173,0.88154,0.80139,groupA
0.22409,0.373749,0.965547,groupA
0.261396,0.448781,0.093927,groupA
0.867609,0.176158,0.20534,groupB
0.066095,0.511431,0.905938,groupA
0.840158,0.897215,0.894939,groupB
0.186636,0.68658,0.798615,groupB
0.831557,0.725464,0.377088,groupA
0.579658,0.803962,0.704473,groupA
0.064707,0.832886,0.571409,groupB
0.452311,0.610939,0.678874,groupB
0.94618,0.435916,0.666427,groupB
0.448831,0.751143,0.153048,groupB
0.290024,0.079216,0.482452,groupA
0.720656,0.622913,0.483612,groupB
0.211285,0.533653,0.132034,groupB
0.597134,0.561991,0.840324,groupB
0.98169,0.241978,0.089425,groupB
0.716568,0.660224,0.159314,groupB
0.745826,0.142582,0.423452,groupB
0.326716,0.170281,0.426578,groupA
0.03937,0.351716,0.042611,groupA
0.661769,0.228551,0.732554,groupB
0.659547,0.417476,0.45978,groupB
0.882665,0.68567,0.717668,groupB
0.905646,0.976004,0.670244,groupB
0.396971,0.800556,0.095125,groupB
0.406809,0.274332,0.097126,groupA
0.873163,0.258372,0.862068,groupB
0.136252,0.381949,0.840069,groupA
0.203531,0.424571,0.348699,groupA
0.741964,0.960092,0.494126,groupB
0.757994,0.865863,0.42597,groupB
0.038081,0.665163,0.209709,groupA
0.496458,0.31205,0.205118,groupB
0.979619,0.752004,0.610389,groupB
0.683983,0.176456,0.546322,groupB
0.320646,0.225906,0.483998,groupA
0.555001,0.848729,0.034589,groupB
0.905174,0.4226,0.392202,groupB
0.761965,0.332633,0.482529,groupB
0.057751,0.5009,0.780529,groupA
0.81339,0.885948,0.225875,groupB
0.773498,0.354143,0.118487,groupB
0.150959,0.047949,0.467796,groupA
0.900554,0.386984,0.250403,groupB
0.152412,0.824878,0.734565,groupB
0.128198,0.702148,0.618746,groupB
0.548188,0.360051,0.131371,groupB
0.699965,0.652271,0.120908,groupB
0.23576,0.22964,0.865817,groupA
0.030346,0.117741,0.505792,groupA
0.428459,0.141682,0.05773,groupA
0.994199,0.727639,0.724114,groupA
0.515235,0.861982,0.216702,groupB
0.923213,0.821204,0.677678,groupB
0.484464,0.666835,0.440352,groupB
0.185796,0.402548,0.482762,groupA
0.80478,0.774879,0.208393,groupB
0.108624,0.323633,0.476159,groupA
0.582419,0.17315,0.753333,groupA
0.404835,0.995424,0.359233,groupB
0.679191,0.652432,0.110823,groupB
0.358886,0.620588,0.503545,groupB
0.361819,0.168403,0.921691,groupA
0.736818,0.787109,0.787276,groupB
0.701804,0.93147,0.916515,groupB
0.832125,0.988525,0.002067,groupB
0.609727,0.80629,0.439234,groupB
0.63752,0.756616,0.439943,groupB
0.105846,0.451458,0.786032,groupA
0.360134,0.631336,0.319662,groupB
0.266871,0.813247,0.126152,groupB
0.387898,0.654614,0.407701,groupB
0.951393,0.792422,0.178447,groupB
0.596973,0.824359,0.599285,groupA
0.45796,0.387482,0.896424,groupB
0.529125,0.031972,0.024812,groupA
0.52706,0.973292,0.716358,groupB
0.083977,0.12627,0.83365,groupA
0.160225,0.107425,0.727839,groupA
0.508322,0.185894,0.983494,groupA
0.363298,0.493559,0.52413,groupB
0.237344,0.885514,0.567591,groupB
0.96199,0.989285,0.498917,groupB
0.644071,0.898755,0.781352,groupB
0.336039,0.538687,0.338531,groupB
0.689716,0.095727,0.172939,groupA
0.036784,0.400534,0.026467,groupA
0.854851,0.981849,0.476133,groupB
0.062734,0.578854,0.414203,groupA
0.526033,0.600232,0.980772,groupB
0.743519,0.975855,0.36,groupB
0.986817,0.760817,0.154993,groupB
0.884525,0.151812,0.855452,groupB
0.305505,0.352281,0.964871,groupA
0.720567,0.060557,0.552264,groupA
0.615466,0.880342,0.202975,groupB
0.876095,0.710849,0.880978,groupB
0.531258,0.581298,0.817055,groupB
0.593749,0.537777,0.928396,groupB
0.701002,0.898659,0.07851,groupB
0.385208,0.468346,0.983704,groupB
0.448727,0.151732,0.433175,groupA
0.366958,0.324344,0.552531,groupA
0.754431,0.680306,0.825881,groupB
0.852705,0.899238,0.462365,groupB
0.864437,0.523773,0.202832,groupA
0.676006,0.965226,0.682375,groupB
0.261815,0.282625,0.401802,groupA
0.05445,0.248726,0.281476,groupA
0.579157,0.616061,0.325152,groupB
0.610172,0.852207,0.586137,groupA
0.040502,0.93323,0.235582,groupB
0.309638,0.096599,0.232479,groupA
0.135478,0.633092,0.288457,groupA
0.046978,0.849265,0.058613,groupB
0.223651,0.482043,0.421648,groupA
0.657384,0.86369,0.423645,groupB
0.856765,0.861672,0.886477,groupB
0.000604,0.85978,0.234393,groupB
0.430819,0.919284,0.953106,groupB
0.986198,0.531991,0.883433,groupB
0.68388,0.37814,0.792266,groupB
0.499891,0.914571,0.084666,groupA
0.859814,0.812502,0.30411,groupB
0.740459,0.73482,0.616219,groupB
0.535383,0.07492,0.980232,groupA
0.929974,0.132896,0.069257,groupB
0.990764,0.847175,0.066749,groupB
0.189058,0.515118,0.561603,groupA
0.872556,0.936278,0.734643,groupB
0.581116,0.790789,0.361717,groupA
0.023991,0.648966,0.826443,groupA
0.55214,0.25715,0.262432,groupB
0.753226,0.831127,0.789845,groupA
0.635998,0.26007,0.491943,groupB
0.258774,0.207776,0.845514,groupA
0.19728,0.655474,0.502357,groupB
0.921198,0.485831,0.33755,groupB
0.825085,0.732547,0.064643,groupB
0.275547,0.081194,0.717983,groupB
0.961597,0.75254,0.00401,groupB
0.77849,0.726951,0.358883,groupA
0.119483,0.038686,0.873165,groupA
0.910636,0.073189,0.001378,groupB
0.676382,0.488443,0.440228,groupB
0.411838,0.512892,0.487701,groupB
0.78738,0.090239,0.490429,groupB
0.740285,0.808558,0.951411,groupA
0.588948,0.352837,0.368143,groupB
0.035563,0.892803,0.503753,groupB
0.887826,0.228695,0.587246,groupB
0.742543,0.960575,0.134522,groupA
0.427487,0.399159,0.302008,groupB
0.226199,0.52324,0.553431,groupA
0.33665,0.222759,0.393457,groupA
0.329275,0.359069,0.624242,groupA
0.857882,0.405168,0.451046,groupB
0.472214,0.15866,0.385511,groupA
0.366897,0.634328,0.036975,groupB
0.37734,0.67911,0.163906,groupB
0.465571,0.472138,0.81082,groupB
0.768587,0.000115,0.706026,groupA
0.889149,0.523183,0.899621,groupB
0.805347,0.377092,0.581207,groupB
0.771488,0.024706,0.363086,groupA
0.032081,0.582294,0.247655,groupA
0.593875,0.900189,0.614815,groupA
0.699231,0.345295,0.544093,groupB
0.183492,0.478817,0.345314,groupA
0.891898,0.111306,0.224423,groupA
0.837059,0.305652,0.184354,groupB
0.773877,0.845888,0.653791,groupB
0.897787,0.803995,0.547385,groupB
0.170631,0.693998,0.514135,groupB
0.41658,0.403731,0.738286,groupB
0.844637,0.48494,0.777348,groupB
0.215559,0.64149,0.708699,groupB
0.976521,0.55306,0.561154,groupB
0.333467,0.469049,0.341651,groupB
0.980992,0.71013,0.341009,groupB
0.328761,0.407782,0.565954,groupB
0.492857,0.184239,0.599799,groupA
0.88459,0.217614,0.634514,groupB
0.616714,0.847007,0.162841,groupB
0.563889,0.082391,0.363469,groupA
0.112491,0.022001,0.212622,groupA
0.850915,0.115842,0.951076,groupB
0.325554,0.424835,0.919781,groupA
0.249581,0.853803,0.522554,groupB
0.70272,0.84415,0.411481,groupB
0.817638,0.299145,0.427002,groupB
0.449521,0.225836,0.873458,groupA
0.595257,0.981919,0.187702,groupB
0.305654,0.126787,0.674215,groupA
0.529495,0.66244,0.77953,groupB
0.735555,0.489228,0.35665,groupB
0.219775,0.686146,0.960038,groupB
0.132594,0.375476,0.61219,groupA
0.683507,0.843724,0.302849,groupB
0.525611,0.230533,0.318068,groupB
0.653628,0.42571,0.896724,groupB
0.066178,0.090157,0.962168,groupA
0.273285,0.425012,0.823236,groupA
0.520368,0.025938,0.996936,groupA
0.328444,0.007926,0.832791,groupA
0.169234,0.213155,0.284516,groupA
0.905961,0.109803,0.105339,groupB
0.34711,0.549242,0.33666,groupB
0.264898,0.726316,0.960367,groupB
0.646184,0.353544,0.359672,groupB
0.839019,0.211967,0.509597,groupB
0.992272,0.935746,0.825564,groupB
0.038272,0.434542,0.011835,groupA
0.908984,0.742688,0.66224,groupB
0.556827,0.99046,0.608207,groupA
0.975401,0.837512,0.077497,groupB
0.235883,0.644746,0.124172,groupB
0.567833,0.171028,0.184444,groupA
0.791637,0.088423,0.33792,groupB
0.048582,0.094601,0.137775,groupA
0.78066,0.472781,0.729539,groupB
0.360816,0.260151,0.098594,groupA
0.063054,0.162882,0.982332,groupA
0.287965,0.905793,0.433781,groupB
0.368132,0.432571,0.514071,groupB
0.929317,0.478022,0.485681,groupB
0.174851,0.212341,0.538284,groupA
0.025466,0.47105,0.713166,groupA
0.204535,0.618361,0.41472,groupB
0.469737,0.70216,0.411593,groupB
0.079716,0.806254,0.565074,groupB
0.954373,0.398505,0.657459,groupB
0.020249,0.943699,0.770171,groupB
0.2884,0.733139,0.658242,groupB
0.061815,0.46558,0.474277,groupA
0.46977,0.912,0.065725,groupB
0.416997,0.591623,0.50867,groupB
0.155277,0.570577,0.182482,groupA
0.044552,0.617809,0.984102,groupA
0.403164,0.64263,0.231769,groupA
0.358637,0.243681,0.716204,groupA
0.706623,0.067354,0.008923,groupA
0.812488,0.522675,0.504409,groupB
0.53242,0.696133,0.039855,groupA
0.580739,0.607265,0.080514,groupB
0.452674,0.598828,0.493761,groupB
0.137622,0.205774,0.973449,groupB
0.843469,0.796931,0.263632,groupA
0.836561,0.165748,0.722429,groupB
0.786934,0.926071,0.326707,groupB
0.86913,0.012702,0.849546,groupB
0.46037,0.763018,0.93435,groupB
0.856923,0.389827,0.389176,groupB
0.703371,0.539518,0.966188,groupB
0.421134,0.86588,0.850984,groupB
0.411729,0.857575,0.556475,groupB
0.235927,0.123927,0.168108,groupA
0.258656,0.459849,0.493397,groupA
0.270088,0.536156,0.691035,groupA
0.157453,0.809733,0.47315,groupB
0.896719,0.80874,0.95525,groupB
0.571599,0.011674,0.801215,groupA
0.830306,0.279868,0.598016,groupB
0.743585,0.465418,0.143014,groupB
0.493486,0.205525,0.250575,groupA
0.851011,0.213559,0.126928,groupB
0.754027,0.498097,0.244648,groupB
0.996668,0.198512,0.293196,groupB
0.89502,0.510518,0.220848,groupB
0.461013,0.619047,0.84765,groupB
0.425204,0.797027,0.80076,groupB
0.715381,0.822239,0.393892,groupB
0.514299,0.113914,0.821473,groupA
0.854022,0.166862,0.170602,groupB
0.363086,0.014982,0.919272,groupA
0.996606,0.837834,0.189528,groupB
0.622798,0.776177,0.481109,groupB
0.672186,0.543468,0.493348,groupB
0.896732,0.67177,0.373511,groupB
0.766378,0.350786,0.873114,groupB
0.251485,0.929856,0.960352,groupB
0.892177,0.911521,0.233874,groupA
0.833933,0.537533,0.877385,groupB
0.124948,0.887025,0.15039,groupA
0.851883,0.021505,0.470161,groupB
0.377127,0.531667,0.434888,groupB
0.746125,0.945225,0.989319,groupB
0.095297,0.033605,0.887152,groupA
0.499166,0.897463,0.617089,groupB
0.029844,0.694092,0.351157,groupA
0.787951,0.314785,0.36724,groupB
0.859166,0.294467,0.221934,groupB
0.176464,0.897639,0.78099,groupB
0.191181,0.621101,0.096434,groupB
0.82885,0.556959,0.490804,groupB
0.128311,0.629259,0.166451,groupA
0.108728,0.526036,0.870422,groupA
0.392041,0.219847,0.653323,groupA
0.800788,0.400923,0.090179,groupB
0.221815,0.802164,0.470484,groupB
0.420739,0.824657,0.183331,groupB
0.795183,0.102697,0.658919,groupA
0.066807,0.77417,0.248847,groupB
0.976051,0.202189,0.330564,groupA
0.695171,0.222938,0.15947,groupB
0.015265,0.495209,0.244919,groupA
0.841255,0.57231,0.607329,groupB
0.314393,0.145592,0.756408,groupA
0.599515,0.020132,0.887698,groupA
0.702658,0.08541,0.316324,groupA
0.091947,0.113107,0.469808,groupA
0.137951,0.606588,0.718228,groupA
0.349719,0.445542,0.249442,groupA
0.645458,0.590337,0.346962,groupB
0.325317,0.287976,0.372309,groupA
0.896243,0.743071,0.69874,groupB
0.771823,0.646619,0.87632,groupA
0.877326,0.613759,0.503893,groupB
0.385039,0.615439,0.834531,groupA
0.470937,0.734821,0.814366,groupB
0.420021,0.973361,0.687615,groupB
0.668214,0.02466,0.499487,groupB
0.12926,0.681578,0.403966,groupB
0.800053,0.196477,0.093496,groupB
0.092356,0.615854,0.593826,groupB
0.484621,0.596615,0.435162,groupA
0.119899,0.616677,0.574575,groupB
0.416029,0.486558,0.872794,groupB
0.055544,0.359868,0.098973,groupA
0.29653,0.517297,0.323639,groupB
0.348318,0.522785,0.882227,groupB
0.936384,0.432162,0.15113,groupB
0.925927,0.843627,0.550005,groupB
0.609698,0.829201,0.350942,groupB
0.411932,0.020221,0.159005,groupB
0.674499,0.521733,0.420857,groupB
0.948584,0.925658,0.854101,groupB
0.547247,0.102928,0.014719,groupB
0.373533,0.131823,0.066021,groupA
0.320292,0.274385,0.239547,groupA
0.042527,0.344044,0.74555,groupA
0.290088,0.132564,0.413479,groupA
0.002889,0.552665,0.175758,groupB
0.938494,0.941126,0.138287,groupB
0.525236,0.798007,0.419392,groupB
0.414009,0.093652,0.379679,groupA
0.989356,0.366269,0.889902,groupB
0.953243,0.687678,0.360092,groupB
0.659219,0.498402,0.281164,groupB
0.697408,0.098886,0.18112,groupA
0.591114,0.537021,0.747028,groupB
0.916016,0.08606,0.126119,groupB
0.761055,0.495184,0.074724,groupA
0.989395,0.059674,0.842771,groupB
0.667851,0.032032,0.395842,groupA
0.510611,0.827289,0.341516,groupB
0.433599,0.116531,0.054574,groupB
